iter	Passed	Remaining
1572	16350	87596
1573	16359	87578
1574	16367	87551
1575	16375	87528
1576	16381	87493
1577	16388	87468
1578	16397	87451
1579	16408	87445
1580	16417	87426
1581	16425	87403
1582	16433	87376
1583	16439	87346
1584	16451	87344
1585	16459	87320
1586	16469	87305
1587	16478	87288
1588	16485	87264
1589	16493	87238
1590	16501	87216
1591	16511	87202
1592	16517	87171
1593	16525	87146
1594	16535	87135
1595	16545	87125
1596	16552	87095
1597	16572	87132
1598	16583	87127
1599	16594	87122
1600	16601	87093
1601	16607	87061
1602	16617	87049
1603	16628	87042
1604	16637	87024
1605	16644	86994
1606	16653	86976
1607	16666	86979
1608	16672	86945
1609	16682	86933
1610	16689	86905
1611	16696	86881
1612	16705	86864
1613	16715	86847
1614	16720	86814
1615	16731	86803
1616	16737	86771
1617	16747	86759
1618	16755	86738
1619	16775	86777
1620	16794	86810
1621	16806	86809
1622	16815	86794
1623	16822	86766
1624	16830	86740
1625	16840	86732
1626	16849	86713
1627	16858	86693
1628	16865	86665
1629	16873	86645
1630	16880	86618
1631	16887	86588
1632	16895	86567
1633	16906	86561
1634	16918	86560
1635	16925	86531
1636	16933	86510
1637	16941	86487
1638	16950	86469
1639	16957	86444
1640	16964	86414
1641	16972	86391
1642	16979	86364
1643	17026	86541
1644	17042	86558
1645	17053	86550
1646	17064	86545
1647	17077	86550
1648	17090	86550
1649	17102	86546
1650	17114	86547
1651	17127	86549
1652	17138	86541
1653	17150	86541
1654	17159	86524
1655	17167	86499
1656	17177	86487
1657	17186	86470
1658	17196	86461
1659	17204	86437
1660	17214	86422
1661	17222	86402
1662	17232	86392
1663	17242	86378
1664	17254	86376
1665	17261	86349
1666	17274	86354
1667	17282	86329
1668	17291	86311
